y,mw,datum_mw,verein,age
300000,€300k,"Jan 9, 2018",RSC Anderlecht,18
700000,€700k,"Mar 30, 2018",RSC Anderlecht,18
700000,€700k,"Jun 3, 2018",RSC Anderlecht,18
2000000,€2.00m,"Dec 27, 2018",RSC Anderlecht,19
2000000,€2.00m,"Jun 10, 2019",RSC Anderlecht,19
5000000,€5.00m,"Sep 6, 2019",RSC Anderlecht,19
11000000,€11.00m,"Dec 13, 2019",RSC Anderlecht,20
10000000,€10.00m,"Apr 8, 2020",RSC Anderlecht,20
10000000,€10.00m,"Oct 16, 2020",RSC Anderlecht,20
12000000,€12.00m,"Mar 17, 2021",RSC Anderlecht,21
12000000,€12.00m,"Jun 7, 2021",RSC Anderlecht,21
16000000,€16.00m,"Oct 5, 2021",Arsenal FC,21
16000000,€16.00m,"Dec 23, 2021",Arsenal FC,22
14000000,€14.00m,"Jun 15, 2022",Arsenal FC,22
15000000,€15.00m,"Nov 3, 2022",Arsenal FC,23
15000000,€15.00m,"Jun 20, 2023",Arsenal FC,23
12000000,€12.00m,"Dec 19, 2023",Luton Town,24
15000000,€15.00m,"Mar 14, 2024",Luton Town,24
15000000,€15.00m,"May 27, 2024",Luton Town,24
12000000,€12.00m,"Oct 11, 2024",Sevilla FC,24
12000000,€12.00m,"Dec 27, 2024",Sevilla FC,25
9000000,€9.00m,"Mar 21, 2025",Sevilla FC,25
8000000,€8.00m,"Jun 9, 2025",Sevilla FC,25
