date,season,marketValue,fee,to.clubName
"Jun 30, 2025",24/25,€8.00m,End of loan,Arsenal
"Jul 15, 2024",24/25,€15.00m,loan transfer,Sevilla FC
"May 31, 2024",23/24,€15.00m,End of loan,Arsenal
"Sep 1, 2023",23/24,€15.00m,loan transfer,Luton
"May 31, 2023",22/23,€15.00m,End of loan,Arsenal
"Jan 31, 2023",22/23,€15.00m,loan transfer,Crystal Palace
"Jul 19, 2021",21/22,€12.00m,€17.50m,Arsenal
"Jan 1, 2018",17/18,-,-,RSC Anderlecht
"Jul 1, 2017",17/18,-,-,Anderlecht U21
"Jul 1, 2016",16/17,-,-,Anderlecht U19
