y,mw,datum_mw,verein,age
2500000,€2.50m,"Oct 17, 2019",Leeds United,22
7000000,€7.00m,"Feb 27, 2020",Leeds United,22
5500000,€5.50m,"Apr 8, 2020",Leeds United,22
15000000,€15.00m,"Oct 13, 2020",Brighton & Hove Albion,23
22000000,€22.00m,"Dec 17, 2020",Brighton & Hove Albion,23
25000000,€25.00m,"Mar 18, 2021",Brighton & Hove Albion,23
28000000,€28.00m,"May 28, 2021",Brighton & Hove Albion,23
40000000,€40.00m,"Oct 5, 2021",Arsenal FC,23
40000000,€40.00m,"Dec 23, 2021",Arsenal FC,24
40000000,€40.00m,"Jun 15, 2022",Arsenal FC,24
45000000,€45.00m,"Nov 3, 2022",Arsenal FC,25
50000000,€50.00m,"Mar 16, 2023",Arsenal FC,25
55000000,€55.00m,"Jun 20, 2023",Arsenal FC,25
55000000,€55.00m,"Dec 19, 2023",Arsenal FC,26
55000000,€55.00m,"May 27, 2024",Arsenal FC,26
55000000,€55.00m,"Dec 16, 2024",Arsenal FC,27
50000000,€50.00m,"Mar 18, 2025",Arsenal FC,27
45000000,€45.00m,"May 30, 2025",Arsenal FC,27
