y,mw,datum_mw,verein,age
7000000,€7.00m,"Sep 23, 2019",Arsenal FC,18
13000000,€13.00m,"Dec 10, 2019",Arsenal FC,18
22000000,€22.00m,"Mar 9, 2020",Arsenal FC,18
20000000,€20.00m,"Apr 8, 2020",Arsenal FC,18
35000000,€35.00m,"Jul 30, 2020",Arsenal FC,18
40000000,€40.00m,"Oct 13, 2020",Arsenal FC,19
60000000,€60.00m,"Mar 18, 2021",Arsenal FC,19
65000000,€65.00m,"May 28, 2021",Arsenal FC,19
65000000,€65.00m,"Dec 23, 2021",Arsenal FC,20
65000000,€65.00m,"Jun 15, 2022",Arsenal FC,20
70000000,€70.00m,"Sep 15, 2022",Arsenal FC,21
90000000,€90.00m,"Nov 3, 2022",Arsenal FC,21
100000000,€100.00m,"Dec 23, 2022",Arsenal FC,21
110000000,€110.00m,"Mar 16, 2023",Arsenal FC,21
120000000,€120.00m,"Jun 20, 2023",Arsenal FC,21
120000000,€120.00m,"Dec 19, 2023",Arsenal FC,22
130000000,€130.00m,"Mar 14, 2024",Arsenal FC,22
140000000,€140.00m,"May 27, 2024",Arsenal FC,22
150000000,€150.00m,"Dec 16, 2024",Arsenal FC,23
150000000,€150.00m,"May 30, 2025",Arsenal FC,23
