y,mw,datum_mw,verein,age
250000,€250k,"Feb 3, 2012",Hamburger SV II,17
250000,€250k,"Jul 31, 2012",Hamburger SV,18
400000,€400k,"Sep 2, 2012",Hamburger SV,18
400000,€400k,"Jan 13, 2013",Hamburger SV,18
400000,€400k,"Jun 30, 2013",Hamburger SV,19
500000,€500k,"Feb 10, 2014",Bröndby IF,19
500000,€500k,"Aug 31, 2014",Bröndby IF,20
500000,€500k,"Feb 6, 2015",Bröndby IF,20
700000,€700k,"Sep 2, 2015",Bröndby IF,21
600000,€600k,"Jan 21, 2016",Bröndby IF,21
700000,€700k,"Aug 12, 2016",Bröndby IF,22
1000000,€1.00m,"Dec 12, 2016",Bröndby IF,22
1500000,€1.50m,"Mar 27, 2017",Bröndby IF,23
1500000,€1.50m,"Jun 21, 2017",Bröndby IF,23
2000000,€2.00m,"Dec 18, 2017",Bröndby IF,23
2000000,€2.00m,"Jun 2, 2018",Bröndby IF,24
2000000,€2.00m,"Dec 20, 2018",ACF Fiorentina,24
2000000,€2.00m,"Jun 6, 2019",ACF Fiorentina,25
3000000,€3.00m,"Oct 17, 2019",Brentford FC,25
4000000,€4.00m,"Feb 27, 2020",Brentford FC,25
3200000,€3.20m,"Apr 8, 2020",Brentford FC,26
4000000,€4.00m,"Oct 15, 2020",Brentford FC,26
3500000,€3.50m,"Mar 10, 2021",Brentford FC,27
3500000,€3.50m,"May 26, 2021",Brentford FC,27
6000000,€6.00m,"Oct 5, 2021",Brentford FC,27
8000000,€8.00m,"Dec 23, 2021",Brentford FC,27
10000000,€10.00m,"Mar 29, 2022",Brentford FC,28
14000000,€14.00m,"Jun 15, 2022",Brentford FC,28
14000000,€14.00m,"Nov 3, 2022",Brentford FC,28
16000000,€16.00m,"Jun 20, 2023",Brentford FC,29
20000000,€20.00m,"Dec 19, 2023",Brentford FC,29
18000000,€18.00m,"May 27, 2024",Brentford FC,30
15000000,€15.00m,"Dec 16, 2024",Brentford FC,30
12000000,€12.00m,"Mar 18, 2025",Brentford FC,31
11000000,€11.00m,"May 30, 2025",Brentford FC,31
