y,mw,datum_mw,verein,age
500000,€500k,"Oct 23, 2017",West Ham United,18
2000000,€2.00m,"Jan 2, 2018",West Ham United,18
10000000,€10.00m,"May 28, 2018",West Ham United,19
15000000,€15.00m,"Oct 17, 2018",West Ham United,19
20000000,€20.00m,"Dec 19, 2018",West Ham United,19
35000000,€35.00m,"Mar 5, 2019",West Ham United,20
45000000,€45.00m,"Jun 13, 2019",West Ham United,20
50000000,€50.00m,"Sep 12, 2019",West Ham United,20
55000000,€55.00m,"Dec 10, 2019",West Ham United,20
49500000,€49.50m,"Apr 8, 2020",West Ham United,21
55000000,€55.00m,"Oct 13, 2020",West Ham United,21
60000000,€60.00m,"Mar 18, 2021",West Ham United,22
65000000,€65.00m,"May 28, 2021",West Ham United,22
70000000,€70.00m,"Jul 15, 2021",West Ham United,22
75000000,€75.00m,"Dec 23, 2021",West Ham United,22
80000000,€80.00m,"Jun 15, 2022",West Ham United,23
80000000,€80.00m,"Nov 3, 2022",West Ham United,23
90000000,€90.00m,"Jun 20, 2023",West Ham United,24
100000000,€100.00m,"Oct 9, 2023",Arsenal FC,24
110000000,€110.00m,"Dec 19, 2023",Arsenal FC,24
120000000,€120.00m,"May 27, 2024",Arsenal FC,25
110000000,€110.00m,"Dec 16, 2024",Arsenal FC,25
120000000,€120.00m,"May 30, 2025",Arsenal FC,26
