y,mw,datum_mw,verein,age
700000,€700k,"Dec 31, 2019",FC Porto B,19
625000,€625k,"Apr 8, 2020",FC Porto B,19
7000000,€7.00m,"Aug 17, 2020",FC Porto,20
9000000,€9.00m,"Jan 28, 2021",FC Porto,20
9000000,€9.00m,"May 21, 2021",FC Porto,20
10000000,€10.00m,"Dec 27, 2021",FC Porto,21
17000000,€17.00m,"Mar 10, 2022",FC Porto,21
25000000,€25.00m,"May 31, 2022",FC Porto,22
30000000,€30.00m,"Sep 15, 2022",Arsenal FC,22
30000000,€30.00m,"Nov 3, 2022",Arsenal FC,22
27000000,€27.00m,"Mar 16, 2023",Arsenal FC,22
25000000,€25.00m,"Jun 20, 2023",Arsenal FC,23
28000000,€28.00m,"Dec 19, 2023",Arsenal FC,23
25000000,€25.00m,"Mar 14, 2024",Arsenal FC,23
22000000,€22.00m,"May 27, 2024",Arsenal FC,23
22000000,€22.00m,"Dec 19, 2024",FC Porto,24
22000000,€22.00m,"May 30, 2025",FC Porto,25
