y,mw,datum_mw,verein,age
750000,€750k,"May 31, 2015",Sociedade Esportiva Palmeiras,18
2000000,€2.00m,"Sep 11, 2015",Sociedade Esportiva Palmeiras,18
4000000,€4.00m,"Dec 15, 2015",Sociedade Esportiva Palmeiras,18
8000000,€8.00m,"May 27, 2016",Sociedade Esportiva Palmeiras,19
16000000,€16.00m,"Jul 23, 2016",Sociedade Esportiva Palmeiras,19
25000000,€25.00m,"Feb 20, 2017",Manchester City,19
30000000,€30.00m,"Jun 28, 2017",Manchester City,20
45000000,€45.00m,"Oct 23, 2017",Manchester City,20
70000000,€70.00m,"Jan 2, 2018",Manchester City,20
80000000,€80.00m,"May 28, 2018",Manchester City,21
70000000,€70.00m,"Dec 19, 2018",Manchester City,21
70000000,€70.00m,"Jun 13, 2019",Manchester City,22
70000000,€70.00m,"Dec 10, 2019",Manchester City,22
56000000,€56.00m,"Apr 8, 2020",Manchester City,23
60000000,€60.00m,"Oct 13, 2020",Manchester City,23
60000000,€60.00m,"Mar 18, 2021",Manchester City,23
60000000,€60.00m,"Jun 8, 2021",Manchester City,24
60000000,€60.00m,"Dec 23, 2021",Manchester City,24
50000000,€50.00m,"Mar 29, 2022",Manchester City,24
50000000,€50.00m,"Jun 15, 2022",Manchester City,25
65000000,€65.00m,"Sep 15, 2022",Arsenal FC,25
75000000,€75.00m,"Nov 3, 2022",Arsenal FC,25
75000000,€75.00m,"Jun 20, 2023",Arsenal FC,26
70000000,€70.00m,"Dec 19, 2023",Arsenal FC,26
65000000,€65.00m,"May 27, 2024",Arsenal FC,27
55000000,€55.00m,"Oct 1, 2024",Arsenal FC,27
45000000,€45.00m,"Dec 16, 2024",Arsenal FC,27
40000000,€40.00m,"Mar 18, 2025",Arsenal FC,27
32000000,€32.00m,"May 30, 2025",Arsenal FC,28
