y,mw,datum_mw,verein,age
125000,€125k,"May 27, 2016",Avaí FC,18
350000,€350k,"Jul 23, 2016",Avaí FC,18
600000,€600k,"Jun 1, 2017",LOSC Lille,19
600000,€600k,"Jan 24, 2018",ESTAC Troyes,20
600000,€600k,"Dec 17, 2018",LOSC Lille,20
1500000,€1.50m,"Mar 7, 2019",LOSC Lille,21
4000000,€4.00m,"Jun 3, 2019",LOSC Lille,21
10000000,€10.00m,"Sep 27, 2019",LOSC Lille,21
15000000,€15.00m,"Dec 19, 2019",LOSC Lille,22
22000000,€22.00m,"Mar 13, 2020",LOSC Lille,22
17500000,€17.50m,"Apr 8, 2020",LOSC Lille,22
20000000,€20.00m,"Aug 3, 2020",LOSC Lille,22
28000000,€28.00m,"Oct 13, 2020",Arsenal FC,22
25000000,€25.00m,"Mar 18, 2021",Arsenal FC,23
25000000,€25.00m,"Jun 8, 2021",Arsenal FC,23
25000000,€25.00m,"Dec 23, 2021",Arsenal FC,24
30000000,€30.00m,"Mar 29, 2022",Arsenal FC,24
38000000,€38.00m,"Jun 15, 2022",Arsenal FC,24
40000000,€40.00m,"Nov 3, 2022",Arsenal FC,24
50000000,€50.00m,"Mar 16, 2023",Arsenal FC,25
55000000,€55.00m,"Jun 20, 2023",Arsenal FC,25
60000000,€60.00m,"Dec 19, 2023",Arsenal FC,26
65000000,€65.00m,"Mar 14, 2024",Arsenal FC,26
70000000,€70.00m,"May 27, 2024",Arsenal FC,26
75000000,€75.00m,"Oct 1, 2024",Arsenal FC,26
75000000,€75.00m,"Dec 16, 2024",Arsenal FC,26
75000000,€75.00m,"May 30, 2025",Arsenal FC,27
