y,mw,datum_mw,verein,age
5000000,€5.00m,"Aug 7, 2019",Arsenal FC,18
8000000,€8.00m,"Sep 12, 2019",Arsenal FC,18
18000000,€18.00m,"Dec 10, 2019",Arsenal FC,18
28000000,€28.00m,"Mar 9, 2020",Arsenal FC,18
25000000,€25.00m,"Apr 8, 2020",Arsenal FC,18
25000000,€25.00m,"Oct 13, 2020",Arsenal FC,19
22000000,€22.00m,"Mar 18, 2021",Arsenal FC,19
22000000,€22.00m,"Jun 8, 2021",Arsenal FC,19
28000000,€28.00m,"Dec 23, 2021",Arsenal FC,20
38000000,€38.00m,"Mar 29, 2022",Arsenal FC,20
40000000,€40.00m,"Jun 15, 2022",Arsenal FC,20
60000000,€60.00m,"Nov 3, 2022",Arsenal FC,21
70000000,€70.00m,"Mar 16, 2023",Arsenal FC,21
80000000,€80.00m,"Jun 20, 2023",Arsenal FC,22
85000000,€85.00m,"Dec 19, 2023",Arsenal FC,22
80000000,€80.00m,"Mar 14, 2024",Arsenal FC,22
70000000,€70.00m,"May 27, 2024",Arsenal FC,22
60000000,€60.00m,"Oct 1, 2024",Arsenal FC,23
55000000,€55.00m,"Dec 16, 2024",Arsenal FC,23
55000000,€55.00m,"May 30, 2025",Arsenal FC,23
