y,mw,datum_mw,verein,age
200000,€200k,"Jun 25, 2019",Zeleziarne Podbrezova,19
300000,€300k,"Dec 15, 2019",MSK Zilina,19
300000,€300k,"Jul 10, 2020",MSK Zilina,20
350000,€350k,"Dec 28, 2020",MSK Zilina,20
400000,€400k,"Jun 26, 2021",MSK Zilina,21
1000000,€1.00m,"Oct 14, 2021",Spezia Calcio,21
1000000,€1.00m,"Dec 28, 2021",Spezia Calcio,21
1800000,€1.80m,"Mar 15, 2022",Spezia Calcio,22
3000000,€3.00m,"Jun 7, 2022",Spezia Calcio,22
6000000,€6.00m,"Sep 27, 2022",Spezia Calcio,22
6000000,€6.00m,"Nov 11, 2022",Spezia Calcio,22
8000000,€8.00m,"Dec 23, 2022",Spezia Calcio,22
20000000,€20.00m,"Mar 16, 2023",Arsenal FC,23
25000000,€25.00m,"Jun 20, 2023",Arsenal FC,23
25000000,€25.00m,"Dec 19, 2023",Arsenal FC,23
30000000,€30.00m,"May 27, 2024",Arsenal FC,24
28000000,€28.00m,"Dec 16, 2024",Arsenal FC,24
22000000,€22.00m,"Mar 18, 2025",Arsenal FC,25
28000000,€28.00m,"May 30, 2025",Arsenal FC,25
