y,mw,datum_mw,verein,age
50000,€50k,"Jan 21, 2019",Ajax Amsterdam U21,17
300000,€300k,"Jul 3, 2019",Ajax Amsterdam U21,18
900000,€900k,"Jan 17, 2020",Ajax Amsterdam U21,18
800000,€800k,"Apr 8, 2020",Ajax Amsterdam U21,18
2000000,€2.00m,"Jun 29, 2020",Ajax Amsterdam U21,19
4000000,€4.00m,"Oct 14, 2020",Ajax Amsterdam,19
4000000,€4.00m,"Dec 31, 2020",Ajax Amsterdam,19
9000000,€9.00m,"Mar 9, 2021",Ajax Amsterdam,19
11000000,€11.00m,"May 27, 2021",Ajax Amsterdam,19
17000000,€17.00m,"Oct 4, 2021",Ajax Amsterdam,20
30000000,€30.00m,"Jan 5, 2022",Ajax Amsterdam,20
35000000,€35.00m,"Jun 8, 2022",Ajax Amsterdam,20
45000000,€45.00m,"Sep 14, 2022",Ajax Amsterdam,21
45000000,€45.00m,"Nov 11, 2022",Ajax Amsterdam,21
42000000,€42.00m,"Mar 17, 2023",Ajax Amsterdam,21
42000000,€42.00m,"Jun 23, 2023",Ajax Amsterdam,22
40000000,€40.00m,"Dec 19, 2023",Arsenal FC,22
38000000,€38.00m,"May 27, 2024",Arsenal FC,22
45000000,€45.00m,"Dec 16, 2024",Arsenal FC,23
50000000,€50.00m,"Mar 18, 2025",Arsenal FC,23
55000000,€55.00m,"May 30, 2025",Arsenal FC,23
