y,mw,datum_mw,verein,age
100000,€100k,"Jul 1, 2016",Bayer 04 Leverkusen,17
1500000,€1.50m,"Feb 7, 2017",Bayer 04 Leverkusen,17
5000000,€5.00m,"Mar 22, 2017",Bayer 04 Leverkusen,17
8000000,€8.00m,"Jun 19, 2017",Bayer 04 Leverkusen,18
18000000,€18.00m,"Dec 28, 2017",Bayer 04 Leverkusen,18
25000000,€25.00m,"Apr 4, 2018",Bayer 04 Leverkusen,18
28000000,€28.00m,"Jun 5, 2018",Bayer 04 Leverkusen,18
35000000,€35.00m,"Aug 22, 2018",Bayer 04 Leverkusen,19
55000000,€55.00m,"Oct 22, 2018",Bayer 04 Leverkusen,19
65000000,€65.00m,"Dec 18, 2018",Bayer 04 Leverkusen,19
90000000,€90.00m,"Jun 5, 2019",Bayer 04 Leverkusen,19
90000000,€90.00m,"Dec 17, 2019",Bayer 04 Leverkusen,20
81000000,€81.00m,"Apr 8, 2020",Bayer 04 Leverkusen,20
81000000,€81.00m,"Oct 13, 2020",Chelsea FC,21
70000000,€70.00m,"Mar 18, 2021",Chelsea FC,21
70000000,€70.00m,"Jun 1, 2021",Chelsea FC,21
70000000,€70.00m,"Dec 23, 2021",Chelsea FC,22
70000000,€70.00m,"Jun 15, 2022",Chelsea FC,23
70000000,€70.00m,"Nov 3, 2022",Chelsea FC,23
60000000,€60.00m,"Mar 16, 2023",Chelsea FC,23
55000000,€55.00m,"Jun 20, 2023",Chelsea FC,24
60000000,€60.00m,"Oct 9, 2023",Arsenal FC,24
55000000,€55.00m,"Dec 19, 2023",Arsenal FC,24
60000000,€60.00m,"Mar 14, 2024",Arsenal FC,24
70000000,€70.00m,"May 27, 2024",Arsenal FC,24
75000000,€75.00m,"Oct 1, 2024",Arsenal FC,25
75000000,€75.00m,"Dec 16, 2024",Arsenal FC,25
70000000,€70.00m,"Mar 18, 2025",Arsenal FC,25
65000000,€65.00m,"May 30, 2025",Arsenal FC,25
