y,mw,datum_mw,verein,age
500000,€500k,"Aug 25, 2012",CD Basconia,17
1000000,€1.00m,"Jul 20, 2014",Athletic Bilbao,19
1000000,€1.00m,"Jan 8, 2015",SD Ponferradina,20
1000000,€1.00m,"Jul 1, 2015",Athletic Bilbao,20
1500000,€1.50m,"Feb 22, 2016",Real Valladolid CF,21
1500000,€1.50m,"Jul 15, 2016",Athletic Bilbao,21
3000000,€3.00m,"Jan 24, 2017",Athletic Bilbao,22
5000000,€5.00m,"Mar 29, 2017",Athletic Bilbao,22
8000000,€8.00m,"Jun 5, 2017",Athletic Bilbao,22
20000000,€20.00m,"Jan 1, 2018",Athletic Bilbao,23
20000000,€20.00m,"May 30, 2018",Athletic Bilbao,23
40000000,€40.00m,"Aug 13, 2018",Chelsea FC,23
50000000,€50.00m,"Oct 17, 2018",Chelsea FC,24
55000000,€55.00m,"Dec 19, 2018",Chelsea FC,24
60000000,€60.00m,"Jun 13, 2019",Chelsea FC,24
60000000,€60.00m,"Dec 10, 2019",Chelsea FC,25
40000000,€40.00m,"Mar 9, 2020",Chelsea FC,25
32000000,€32.00m,"Apr 8, 2020",Chelsea FC,25
28000000,€28.00m,"Jul 30, 2020",Chelsea FC,25
18000000,€18.00m,"Oct 13, 2020",Chelsea FC,26
15000000,€15.00m,"Dec 17, 2020",Chelsea FC,26
13000000,€13.00m,"Mar 18, 2021",Chelsea FC,26
13000000,€13.00m,"Jun 8, 2021",Chelsea FC,26
10000000,€10.00m,"Dec 23, 2021",Chelsea FC,27
10000000,€10.00m,"Jun 15, 2022",Chelsea FC,27
15000000,€15.00m,"Nov 3, 2022",Chelsea FC,28
18000000,€18.00m,"Jun 20, 2023",Chelsea FC,28
20000000,€20.00m,"Dec 22, 2023",Real Madrid,29
12000000,€12.00m,"Mar 21, 2024",Real Madrid,29
12000000,€12.00m,"Jun 7, 2024",Real Madrid,29
11000000,€11.00m,"Dec 16, 2024",AFC Bournemouth,30
10000000,€10.00m,"May 30, 2025",AFC Bournemouth,30
