date,season,marketValue,fee,to.clubName
"Jul 1, 2025",25/26,€10.00m,€5.80m,Arsenal
"Jun 30, 2025",24/25,€10.00m,End of loan,Chelsea
"Aug 29, 2024",24/25,€12.00m,"Loan fee:<br /><i class=""normaler-text"">€3.60m</i>",Bournemouth
"Jun 30, 2024",23/24,€12.00m,End of loan,Chelsea
"Aug 14, 2023",23/24,€18.00m,"Loan fee:<br /><i class=""normaler-text"">€1.00m</i>",Real Madrid
"Aug 8, 2018",18/19,€20.00m,€80.00m,Chelsea
"Jun 30, 2016",15/16,€1.50m,End of loan,Athletic
"Jul 20, 2015",15/16,€1.00m,loan transfer,Real Valladolid
"Jun 30, 2015",14/15,€1.00m,End of loan,Athletic
"Jan 5, 2015",14/15,€1.00m,loan transfer,Ponferradina
"Jul 1, 2014",14/15,€500k,-,Athletic
"Jan 31, 2013",12/13,€500k,-,Bilbao Athletic
"Jan 1, 2012",11/12,-,-,CD Basconia
"Jan 1, 2011",10/11,-,-,Bilbao U19
"Jul 1, 2010",10/11,-,-,Bilbao U18
