y,mw,datum_mw,verein,age
50000,€50k,"Jan 5, 2012",KRC Genk U19,17
100000,€100k,"Jun 17, 2012",KRC Genk U19,17
200000,€200k,"Jan 9, 2013",KRC Genk,18
200000,€200k,"Oct 9, 2014",Lommel United,19
400000,€400k,"Feb 3, 2015",Lommel United,20
500000,€500k,"May 16, 2015",Lommel United,20
700000,€700k,"Oct 22, 2015",Oud-Heverlee Leuven,20
1500000,€1.50m,"Feb 7, 2016",Oud-Heverlee Leuven,21
2000000,€2.00m,"Apr 14, 2016",Oud-Heverlee Leuven,21
2000000,€2.00m,"Jul 15, 2016",KRC Genk,21
2500000,€2.50m,"Jan 21, 2017",KRC Genk,22
4000000,€4.00m,"Jun 6, 2017",KRC Genk,22
4000000,€4.00m,"Jan 9, 2018",KRC Genk,23
7000000,€7.00m,"Jun 3, 2018",KRC Genk,23
10000000,€10.00m,"Sep 11, 2018",KRC Genk,23
14000000,€14.00m,"Dec 27, 2018",KRC Genk,24
16000000,€16.00m,"Jun 10, 2019",KRC Genk,24
16000000,€16.00m,"Dec 10, 2019",Brighton & Hove Albion,25
13000000,€13.00m,"Apr 8, 2020",Brighton & Hove Albion,25
15000000,€15.00m,"Oct 13, 2020",Brighton & Hove Albion,25
15000000,€15.00m,"Mar 18, 2021",Brighton & Hove Albion,26
17000000,€17.00m,"May 26, 2021",Brighton & Hove Albion,26
17000000,€17.00m,"Dec 23, 2021",Brighton & Hove Albion,27
20000000,€20.00m,"Jun 15, 2022",Brighton & Hove Albion,27
25000000,€25.00m,"Sep 15, 2022",Brighton & Hove Albion,27
30000000,€30.00m,"Nov 3, 2022",Brighton & Hove Albion,27
35000000,€35.00m,"Jun 20, 2023",Arsenal FC,28
38000000,€38.00m,"Dec 19, 2023",Arsenal FC,29
35000000,€35.00m,"May 27, 2024",Arsenal FC,29
30000000,€30.00m,"Dec 16, 2024",Arsenal FC,30
22000000,€22.00m,"May 30, 2025",Arsenal FC,30
