date,season,marketValue,fee,to.clubName
"Jan 20, 2023",22/23,€30.00m,€24.00m,Arsenal
"Jul 1, 2019",19/20,€16.00m,€15.56m,Brighton
"Jun 30, 2016",15/16,€2.00m,End of loan,KRC Genk
"Jul 6, 2015",15/16,€500k,loan transfer,OH Leuven
"Jun 30, 2015",14/15,€500k,End of loan,KRC Genk
"Jul 1, 2014",14/15,€200k,loan transfer,Lommel United
"Jun 30, 2014",13/14,€200k,End of loan,KRC Genk
"Jul 1, 2013",13/14,€200k,loan transfer,KVC Westerlo
"Jun 30, 2013",12/13,€200k,End of loan,KRC Genk
"Jan 29, 2013",12/13,€200k,loan transfer,Lommel United
"Jul 1, 2012",12/13,€100k,-,KRC Genk
"Jul 1, 2010",10/11,-,?,KRC Genk U19
