y,mw,datum_mw,verein,age
1500000,€1.50m,"Aug 2, 2014",Strømsgodset IF,15
4000000,€4.00m,"Dec 7, 2014",Strømsgodset IF,15
4000000,€4.00m,"Jan 23, 2015",Real Madrid Castilla,16
2500000,€2.50m,"Aug 1, 2016",Real Madrid Castilla,17
2000000,€2.00m,"Oct 27, 2016",Real Madrid Castilla,17
2000000,€2.00m,"Jan 18, 2017",SC Heerenveen,18
1500000,€1.50m,"Jun 7, 2017",SC Heerenveen,18
3500000,€3.50m,"Jan 17, 2018",SC Heerenveen,19
4000000,€4.00m,"Jun 12, 2018",SC Heerenveen,19
4000000,€4.00m,"Dec 28, 2018",Vitesse Arnhem,20
8000000,€8.00m,"Mar 13, 2019",Vitesse Arnhem,20
15000000,€15.00m,"Jun 12, 2019",Vitesse Arnhem,20
20000000,€20.00m,"Sep 10, 2019",Real Sociedad,20
50000000,€50.00m,"Dec 20, 2019",Real Sociedad,21
45000000,€45.00m,"Apr 8, 2020",Real Sociedad,21
45000000,€45.00m,"Oct 8, 2020",Real Madrid,21
40000000,€40.00m,"Jan 5, 2021",Real Madrid,22
40000000,€40.00m,"Mar 18, 2021",Arsenal FC,22
40000000,€40.00m,"Jun 8, 2021",Arsenal FC,22
42000000,€42.00m,"Dec 23, 2021",Arsenal FC,23
45000000,€45.00m,"Jun 15, 2022",Arsenal FC,23
50000000,€50.00m,"Sep 15, 2022",Arsenal FC,23
60000000,€60.00m,"Nov 3, 2022",Arsenal FC,23
80000000,€80.00m,"Mar 16, 2023",Arsenal FC,24
90000000,€90.00m,"Jun 20, 2023",Arsenal FC,24
90000000,€90.00m,"Dec 19, 2023",Arsenal FC,25
95000000,€95.00m,"Mar 14, 2024",Arsenal FC,25
110000000,€110.00m,"May 27, 2024",Arsenal FC,25
110000000,€110.00m,"Dec 16, 2024",Arsenal FC,25
100000000,€100.00m,"Mar 18, 2025",Arsenal FC,26
85000000,€85.00m,"May 30, 2025",Arsenal FC,26
