date,season,marketValue,fee,to.clubName
"Aug 20, 2021",21/22,€40.00m,€35.00m,Arsenal
"Jun 30, 2021",20/21,€40.00m,End of loan,Real Madrid
"Jan 27, 2021",20/21,€40.00m,"Loan fee:<br /><i class=""normaler-text"">€2.00m</i>",Arsenal
"Jul 20, 2020",20/21,€45.00m,End of loan,Real Madrid
"Jul 5, 2019",19/20,€15.00m,"Loan fee:<br /><i class=""normaler-text"">€2.00m</i>",Real Sociedad
"Jun 30, 2019",18/19,€15.00m,End of loan,Real Madrid
"Aug 21, 2018",18/19,€4.00m,loan transfer,Vitesse
"Jun 30, 2018",17/18,€4.00m,End of loan,Real Madrid
"Jan 9, 2017",16/17,€2.00m,loan transfer,Heerenveen
"Jan 8, 2017",16/17,€2.00m,-,Real Madrid
"Jan 22, 2015",14/15,€4.00m,€2.80m,RM Castilla
"May 5, 2014",13/14,€1.00m,-,Strømsgodset
"Jan 1, 2014",13/14,-,-,Strømsgodset II
