y,mw,datum_mw,verein,age
100000,€100k,"Nov 23, 2018",Real Sociedad B,19
100000,€100k,"Feb 19, 2019",Real Sociedad B,20
100000,€100k,"Jun 29, 2019",Real Sociedad B,20
100000,€100k,"Sep 10, 2019",Real Sociedad B,20
250000,€250k,"Feb 11, 2020",Real Sociedad B,21
8000000,€8.00m,"Oct 8, 2020",Real Sociedad,21
15000000,€15.00m,"Jan 5, 2021",Real Sociedad,21
20000000,€20.00m,"Jun 10, 2021",Real Sociedad,22
25000000,€25.00m,"Dec 30, 2021",Real Sociedad,22
30000000,€30.00m,"Jun 3, 2022",Real Sociedad,23
35000000,€35.00m,"Sep 23, 2022",Real Sociedad,23
40000000,€40.00m,"Nov 7, 2022",Real Sociedad,23
40000000,€40.00m,"Jun 13, 2023",Real Sociedad,24
50000000,€50.00m,"Dec 22, 2023",Real Sociedad,24
50000000,€50.00m,"Jun 7, 2024",Real Sociedad,25
60000000,€60.00m,"Oct 11, 2024",Real Sociedad,25
60000000,€60.00m,"Dec 27, 2024",Real Sociedad,25
60000000,€60.00m,"Jun 9, 2025",Real Sociedad,26
