y,mw,datum_mw,verein,age
1000000,€1.00m,"Jan 8, 2015",CA Osasuna,18
1000000,€1.00m,"Jul 1, 2015",CA Osasuna,19
2000000,€2.00m,"Feb 22, 2016",CA Osasuna,19
3000000,€3.00m,"Jul 22, 2016",Borussia Dortmund,20
3000000,€3.00m,"Feb 7, 2017",Borussia Dortmund,20
2500000,€2.50m,"Jun 19, 2017",Borussia Dortmund,20
7000000,€7.00m,"Oct 23, 2017",Newcastle United,21
10000000,€10.00m,"Jan 2, 2018",Newcastle United,21
10000000,€10.00m,"May 28, 2018",Newcastle United,21
12000000,€12.00m,"Jul 12, 2018",Real Sociedad,22
8000000,€8.00m,"Dec 21, 2018",Real Sociedad,22
10000000,€10.00m,"Feb 28, 2019",Real Sociedad,22
15000000,€15.00m,"Jun 11, 2019",Real Sociedad,22
20000000,€20.00m,"Dec 20, 2019",Real Sociedad,23
30000000,€30.00m,"Mar 5, 2020",Real Sociedad,23
24000000,€24.00m,"Apr 8, 2020",Real Sociedad,23
35000000,€35.00m,"Jul 23, 2020",Real Sociedad,24
35000000,€35.00m,"Oct 8, 2020",Real Sociedad,24
40000000,€40.00m,"Jan 5, 2021",Real Sociedad,24
40000000,€40.00m,"Jun 10, 2021",Real Sociedad,24
50000000,€50.00m,"Dec 30, 2021",Real Sociedad,25
50000000,€50.00m,"Jun 3, 2022",Real Sociedad,25
50000000,€50.00m,"Nov 7, 2022",Real Sociedad,26
50000000,€50.00m,"Jun 13, 2023",Real Sociedad,26
50000000,€50.00m,"Dec 22, 2023",Real Sociedad,27
50000000,€50.00m,"Jun 7, 2024",Real Sociedad,27
45000000,€45.00m,"Dec 16, 2024",Arsenal FC,28
35000000,€35.00m,"Mar 18, 2025",Arsenal FC,28
35000000,€35.00m,"May 30, 2025",Arsenal FC,28
