y,mw,datum_mw,verein,age
600000,€600k,"Oct 28, 2019",PSV Eindhoven U21,17
2000000,€2.00m,"Jan 17, 2020",PSV Eindhoven U21,17
5000000,€5.00m,"Mar 12, 2020",PSV Eindhoven U21,18
4500000,€4.50m,"Apr 8, 2020",PSV Eindhoven U21,18
6000000,€6.00m,"Oct 14, 2020",PSV Eindhoven,18
9000000,€9.00m,"Jan 6, 2021",PSV Eindhoven,18
14000000,€14.00m,"Mar 9, 2021",PSV Eindhoven,18
16000000,€16.00m,"May 19, 2021",PSV Eindhoven,19
18000000,€18.00m,"Oct 4, 2021",PSV Eindhoven,19
18000000,€18.00m,"Jan 5, 2022",PSV Eindhoven,19
18000000,€18.00m,"Jun 8, 2022",PSV Eindhoven,20
15000000,€15.00m,"Sep 14, 2022",PSV Eindhoven,20
15000000,€15.00m,"Nov 11, 2022",PSV Eindhoven,20
28000000,€28.00m,"Mar 16, 2023",Chelsea FC,21
30000000,€30.00m,"Jun 20, 2023",Chelsea FC,21
25000000,€25.00m,"Dec 19, 2023",Chelsea FC,21
28000000,€28.00m,"May 27, 2024",Chelsea FC,22
35000000,€35.00m,"Oct 1, 2024",Chelsea FC,22
40000000,€40.00m,"Dec 16, 2024",Chelsea FC,22
40000000,€40.00m,"May 30, 2025",Chelsea FC,23
