y,mw,datum_mw,verein,age
800000,€800k,"Mar 20, 2015",FC Ufa,18
650000,€650k,"Jun 18, 2015",FC Ufa,18
4000000,€4.00m,"Jan 6, 2016",FC Ufa,19
4000000,€4.00m,"Jun 1, 2016",FC Ufa,19
4000000,€4.00m,"Aug 1, 2016",Manchester City,19
4500000,€4.50m,"Jan 18, 2017",PSV Eindhoven,20
4500000,€4.50m,"Jun 7, 2017",PSV Eindhoven,20
4500000,€4.50m,"Jan 2, 2018",Manchester City,21
6000000,€6.00m,"Mar 23, 2018",Manchester City,21
7000000,€7.00m,"May 28, 2018",Manchester City,21
15000000,€15.00m,"Aug 10, 2018",Manchester City,21
15000000,€15.00m,"Dec 19, 2018",Manchester City,22
20000000,€20.00m,"Jun 13, 2019",Manchester City,22
30000000,€30.00m,"Sep 12, 2019",Manchester City,22
30000000,€30.00m,"Dec 10, 2019",Manchester City,22
24000000,€24.00m,"Apr 8, 2020",Manchester City,23
20000000,€20.00m,"Oct 13, 2020",Manchester City,23
20000000,€20.00m,"Mar 18, 2021",Manchester City,24
25000000,€25.00m,"May 27, 2021",Manchester City,24
28000000,€28.00m,"Jul 15, 2021",Manchester City,24
25000000,€25.00m,"Dec 23, 2021",Manchester City,25
25000000,€25.00m,"Jun 15, 2022",Manchester City,25
32000000,€32.00m,"Sep 15, 2022",Arsenal FC,25
32000000,€32.00m,"Nov 3, 2022",Arsenal FC,25
40000000,€40.00m,"Mar 16, 2023",Arsenal FC,26
42000000,€42.00m,"Jun 20, 2023",Arsenal FC,26
42000000,€42.00m,"Dec 19, 2023",Arsenal FC,27
38000000,€38.00m,"May 27, 2024",Arsenal FC,27
35000000,€35.00m,"Oct 1, 2024",Arsenal FC,27
30000000,€30.00m,"Dec 16, 2024",Arsenal FC,28
22000000,€22.00m,"Mar 18, 2025",Arsenal FC,28
20000000,€20.00m,"May 30, 2025",Arsenal FC,28
