y,mw,datum_mw,verein,age
400000,€400k,"Sep 3, 2018",TSG 1899 Hoffenheim,18
7500000,€7.50m,"Oct 22, 2018",TSG 1899 Hoffenheim,18
17000000,€17.00m,"Dec 18, 2018",TSG 1899 Hoffenheim,19
17000000,€17.00m,"Jun 5, 2019",TSG 1899 Hoffenheim,19
14000000,€14.00m,"Dec 10, 2019",Arsenal FC,20
12500000,€12.50m,"Apr 8, 2020",Arsenal FC,20
12500000,€12.50m,"Oct 13, 2020",Arsenal FC,20
10000000,€10.00m,"Mar 18, 2021",Arsenal FC,21
9000000,€9.00m,"Jun 8, 2021",Arsenal FC,21
7000000,€7.00m,"Jan 5, 2022",Feyenoord Rotterdam,22
5500000,€5.50m,"Mar 17, 2022",Feyenoord Rotterdam,22
6500000,€6.50m,"Jun 8, 2022",Feyenoord Rotterdam,22
7000000,€7.00m,"Nov 3, 2022",Arsenal FC,22
12000000,€12.00m,"Jun 20, 2023",Arsenal FC,23
15000000,€15.00m,"Dec 19, 2023",Arsenal FC,24
15000000,€15.00m,"May 27, 2024",Arsenal FC,24
18000000,€18.00m,"Dec 16, 2024",Fulham FC,25
16000000,€16.00m,"May 30, 2025",Fulham FC,25
