y,mw,datum_mw,verein,age
700000,€700k,"Oct 29, 2020",AS Roma,18
2500000,€2.50m,"Dec 29, 2020",AS Roma,18
2500000,€2.50m,"Jun 3, 2021",AS Roma,19
4000000,€4.00m,"Oct 14, 2021",AS Roma,19
4000000,€4.00m,"Dec 28, 2021",AS Roma,19
3500000,€3.50m,"Jun 7, 2022",Genoa CFC,20
3500000,€3.50m,"Nov 10, 2022",FC Basel 1893,20
4500000,€4.50m,"Jun 7, 2023",FC Basel 1893,21
5000000,€5.00m,"Oct 11, 2023",Bologna FC 1909,21
13000000,€13.00m,"Dec 20, 2023",Bologna FC 1909,21
25000000,€25.00m,"Mar 12, 2024",Bologna FC 1909,21
30000000,€30.00m,"Jun 5, 2024",Bologna FC 1909,22
45000000,€45.00m,"Jul 18, 2024",Bologna FC 1909,22
45000000,€45.00m,"Dec 16, 2024",Arsenal FC,22
40000000,€40.00m,"Mar 18, 2025",Arsenal FC,22
35000000,€35.00m,"May 30, 2025",Arsenal FC,23
