y,mw,datum_mw,verein,age
300000,€300k,"Jul 14, 2017",IF Brommapojkarna,19
500000,€500k,"Nov 20, 2017",IF Brommapojkarna,19
500000,€500k,"Sep 25, 2019",FC St. Pauli,21
750000,€750k,"Dec 13, 2019",FC St. Pauli,21
900000,€900k,"Apr 2, 2020",FC St. Pauli,21
800000,€800k,"Apr 8, 2020",FC St. Pauli,21
1000000,€1.00m,"Jul 15, 2020",Brighton & Hove Albion,22
1000000,€1.00m,"Oct 15, 2020",Swansea City,22
800000,€800k,"Mar 10, 2021",Coventry City,22
1000000,€1.00m,"Jun 8, 2021",Brighton & Hove Albion,23
2500000,€2.50m,"Nov 24, 2021",Coventry City,23
5000000,€5.00m,"May 13, 2022",Coventry City,23
5000000,€5.00m,"Oct 27, 2022",Coventry City,24
8000000,€8.00m,"Mar 24, 2023",Coventry City,24
13000000,€13.00m,"Jun 1, 2023",Coventry City,24
32000000,€32.00m,"Sep 29, 2023",Sporting CP,25
45000000,€45.00m,"Dec 27, 2023",Sporting CP,25
55000000,€55.00m,"Mar 8, 2024",Sporting CP,25
65000000,€65.00m,"Jun 6, 2024",Sporting CP,26
70000000,€70.00m,"Oct 8, 2024",Sporting CP,26
75000000,€75.00m,"Dec 19, 2024",Sporting CP,26
75000000,€75.00m,"May 30, 2025",Sporting CP,26
