date,season,marketValue,fee,to.clubName
"Jul 26, 2025",25/26,€75.00m,€65.80m,Arsenal
"Jul 13, 2023",23/24,€13.00m,€24.00m,Sporting CP
"Jul 9, 2021",21/22,€1.00m,€1.20m,Coventry
"May 31, 2021",20/21,€800k,End of loan,Brighton
"Jan 15, 2021",20/21,€1.00m,loan transfer,Coventry
"Jan 14, 2021",20/21,€1.00m,End of loan,Brighton
"Oct 2, 2020",20/21,€1.00m,loan transfer,Swansea
"Jun 30, 2020",19/20,€800k,End of loan,Brighton
"Jul 25, 2019",19/20,€500k,loan transfer,FC St. Pauli
"Jan 1, 2018",17/18,€500k,€1.00m,Brighton
"Jan 1, 2016",15/16,-,-,Brommapojkarna
"Jan 1, 2015",14/15,-,-,IF Bromma U19
"Jan 7, 2014",13/14,-,?,IF Bromma U17
