y,mw,datum_mw,verein,age
3000000,€3.00m,"Oct 24, 2018",AS Saint-Étienne,17
3000000,€3.00m,"Dec 17, 2018",AS Saint-Étienne,17
12000000,€12.00m,"Jun 3, 2019",AS Saint-Étienne,18
25000000,€25.00m,"Sep 27, 2019",AS Saint-Étienne,18
25000000,€25.00m,"Dec 19, 2019",AS Saint-Étienne,18
22500000,€22.50m,"Apr 8, 2020",AS Saint-Étienne,19
22500000,€22.50m,"Oct 13, 2020",Arsenal FC,19
17000000,€17.00m,"Dec 17, 2020",Arsenal FC,19
18000000,€18.00m,"Jun 4, 2021",OGC Nice,20
24000000,€24.00m,"Dec 16, 2021",Olympique Marseille,20
30000000,€30.00m,"May 30, 2022",Olympique Marseille,21
40000000,€40.00m,"Sep 15, 2022",Arsenal FC,21
50000000,€50.00m,"Nov 3, 2022",Arsenal FC,21
55000000,€55.00m,"Mar 16, 2023",Arsenal FC,21
65000000,€65.00m,"Jun 20, 2023",Arsenal FC,22
70000000,€70.00m,"Oct 9, 2023",Arsenal FC,22
75000000,€75.00m,"Dec 19, 2023",Arsenal FC,22
80000000,€80.00m,"Mar 14, 2024",Arsenal FC,22
80000000,€80.00m,"May 27, 2024",Arsenal FC,23
80000000,€80.00m,"Dec 16, 2024",Arsenal FC,23
80000000,€80.00m,"May 30, 2025",Arsenal FC,24
