date,season,marketValue,fee,to.clubName
"Jun 30, 2022",21/22,€30.00m,End of loan,Arsenal
"Jul 15, 2021",21/22,€18.00m,loan transfer,Marseille
"Jun 30, 2021",20/21,€18.00m,End of loan,Arsenal
"Jan 4, 2021",20/21,€17.00m,loan transfer,OGC Nice
"Jun 30, 2020",19/20,€22.50m,End of loan,Arsenal
"Jul 26, 2019",19/20,€12.00m,loan transfer,Saint-Étienne
"Jul 25, 2019",19/20,€12.00m,€30.00m,Arsenal
"Jul 1, 2018",18/19,-,-,Saint-Étienne
"May 11, 2018",17/18,-,-,Saint-Étienne B
"Jul 1, 2017",17/18,-,-,St-Étienne U19
"Jul 1, 2016",16/17,-,free transfer,St-Étienne U17
"Jul 1, 2014",14/15,-,free transfer,Montfermeil Jgd
